english_word,twi_word,part_of_speech
Judgement.,Atemmuo,noun
July.,Ayewoho,noun
July.,Kitawonsa,noun
June.,Ayewohomumu,noun
June.,Obiradzi,noun
Justice.,Atentenenee,noun
Kerosene.,Kresin,noun
Kidney,Sawa,noun
Knife.,Sekan,noun
Knowledge.,Nimdee,noun
Kumasi/Capital of Ashanti Region.,Kumasi,noun
Landlord.,Efiewura,noun
Later.,Akyire yi,adverb
Laugh.,Sere,verb
Lawyer.,Mmaranimfuo,noun
Let us live with love and understand.,Odo,verb
Lion.,Gyata,noun
Lose in competition.,Di nkoguo,
Lose.,Hwere,
Lunch.,Awia aduane,noun
Lust.,Akonno bone,noun
Machine learning.,Afidie nwomasua,noun
Male/Boy/Man.,Barima,noun
Male/Boy/Man.,Barima,noun
March.,Ebow,noun
March.,Obenem,noun
Marijuana.,Tampe,noun
May.,Esusow,noun
May.,Kotonimma,noun
Me/I.,me,
Me/I.,me,
Me/I.,me,
Measurement.,Nsusuie,
Meet.,Hyia,verb
Menstruation,Bra,noun
Menstruation.,Afikyireko,noun
Menstruation.,Afikyireko,noun
Menstruation.,Afikyireko,noun
Menstruation.,Afikyireko,noun
Message.,Nkra,noun
Microphone.,Okasamu,noun
Mighty/His or Her Majesty.,Otumfuo,noun
Miss/Ms/Mistress.,Awuraa,noun
Mobile phone.,Akasabonten,noun
Modern.,Abeefo,noun
Momentum.,Anoden,noun
Monday.,Edwoada,noun
Money/Gold.,Sika,noun.
Mother.,Ena,noun
Music/Song.,Nnwom,noun
Music/Song.,Nnwom,noun
Name.,Din,noun
Name.,Din,noun
Name.,Din,noun
Nation/Country.,Man,noun
Native.,Kuromani,Adjective
Natural.,Dee efiri abodee,adjective
Nature/Personality.,Su,adjective.
Nausea.,Abofono,noun
Need/Want.,Hia,verb
News.,Kaseebo,noun
Nine/9.,Nkron,Number
No.,Daabi,Exclamation/noun
North.,Atifi,noun
November.,Obubuo,noun
November.,Oberefew,noun
Numbers.,Nnumre,noun.
Oath/Swear.,Ntam,noun
Object.,Adee,noun
October.,Ahinime,noun
October.,Obese,noun
Okay.,Yoo,noun
Once.,Preko,adverb
One/1.,Baako,
Open.,Bue,verb
Or.,Anaa,Conjunction
Orgasm.,Ahoba,noun
O’clock.,Don,adjective
Pain.,Eyeaa,verb
Painkiller.,Kum yaw,noun
Paragraph.,Kasapen,noun
Parents.,Awofo,noun
Parliament.,Mmarahyebadwa,noun
Photo/Picture/Photography.,Mfonin,noun
Please.,Mepa Wo Kyew,verb
Population.,Oman mu nnipa doduo,noun
Potato.,Aborodwomaa,noun
President.,Omanpanin,noun
Pressure.,Nhyesuo,noun
Price/Amount/Cost/Stone/Worth.,Bo,
Price/Stone.,Buo,Noun
Pride/Arrogance/Ego.,Ahomasuo,noun
Problem.,Ohaw,noun
Profit/Function.,Mfasuo,noun
Promise.,Bohye,Noun
Pronoun.,Edinnsiananmu,noun
Punishment.,Asotwee,noun
Put the cup in the basket.,mu,verb
Put the cup in the basket.,mu,verb
Quarrel/Fight/Wrestle/Brawl.,Ntokwa,noun
Question.,Asemmisa,noun
Reduce/Tear.,TE,verb.
Region.,Omantam,noun.
Rent.,Hae,noun
Resemble.,Se,verb
Respect.,Obuo,noun
Respect/Regard,Bu,verb
Respect/Regard,Bu,verb
Respect/Regard,Bu,verb
Return and get it.,Sankofa,
Rice.,Emoo,
Road.,Kwan,noun
Roast/Smoke the meat.,Toto,verb
Rot.,Pro,verb
Sacrificial.,Aforebo,Adjective
Saliva.,Ntasuo,noun
Saliva.,Ntasuo,noun
Sand.,Anwea,noun
Sandal/Slippers.,Mpaboa,noun
